Text1,Text2,Label
oculo grau lente antirreflexo,oculo lente,1
cola liquido,papelaria escritorio,0
parafusadeira eletrico,ferramenta equipamento,1
carro toyota corolla 2022,brinquedo jogo educativo,0
carrinho beber,casa decoracao,0
suporte vertical ps5 original,console jogo,1
extintor incendio,moda acessorio,0
vender tenis corrida asics aqui,material construcao,0
caneta montblanc,brinquedo jogo educativo,0
oculo sol ray-ban,item colecao,0
querer comprar produto bebe,instrumento musical,0
guitarra eletrico,cafe snack,0
massinha play-doh,brinquedo jogo educativo,1
guirlanda evento,decoracao festa,1
guitarra eletrico,eletronico gadget,0
vinho casa valduga,papelaria escritorio,0
jogo talher tramontina,casa decoracao,1
onde comprar buque flor,veiculo,0
vela aromatico festa,decoracao festa,1
papel fotografico brilhante a4,papelaria escritorio,1
moto bmw r 1250 gs,veiculo,1
cerveja budweiser,brinquedo jogo educativo,0
kit barbear gillette mach3,beleza autocuidado,1
embreagem luk palio 1.0,peca acessorio automotivo,1
onde carregador portatil,ferramenta equipamento,0
livro suspense,instrumento musical,0
chinchila,produto alimenticio basico,0
colher pau,brinquedo jogo educativo,0
barraca camping 6 pessoa,papelaria escritorio,0
lousa infantil,item adulto,0
iphone 7,eletronico gadget,1
joia pandor,papelaria escritorio,0
cafe gelar lata,fotografia,0
Egeo masculino bomb,produto alimenticio basico,0
arranjo cravo alstroemeria,presente viagem,1
lingerie cristal,item adulto,1
varal luz decorativo,decoracao festa,1
jardim vertical compacto,presente viagem,1
planta natural Jardim,decoracao festa,0
cimento hidraulico,material construcao,1
vinho frances,papelaria escritorio,0
bom cafeteria perto eu,cafe snack,1
jogo pote hermetico,casa decoracao,1
affogato cafe,cafe snack,1
secador cabelo,eletrodomestico,1
procuro loja tecido barato,instrumento musical,0
livro receita gourmet,joia relogio,0
chuteira pum,livro material literario,0
cubo magico infantil,brinquedo jogo educativo,1
sorvete graviola,cafe snack,1
armacao grau,oculo lente,1
ar condicionado lg,brinquedo jogo educativo,0
vinho Portugues,instrumento musical,0
som festa portatil,peca acessorio automotivo,0
micro-ondas,esporte fitness,0
quadro branco escritorio,eletrodomestico,0
action figur filme famoso,item colecao,1
pote vidro flor preservar,presente viagem,1
camera seguranca residencial,presente viagem,0
fritadeira eletrico grande,eletrodomestico,1
