Text1,Text2,Label
oculo grau lente antirreflexo,oculo item oculo,1.0
cola liquido,papelaria escritorio,0.1
parafusadeira eletrico,ferramenta equipamento,1.0
carro toyota corolla 2022,brinquedo jogo educativo,0.1
carrinho beber,casa decoracao,0.1
suporte vertical ps5 original,console jogo,1.0
extintor incendio,moda acessorio,0.1
vender tenis corrida asics aqui,material construcao,0.1
caneta montblanc,brinquedo jogo educativo,0.1
oculo sol ray-ban,item colecao,0.1
querer comprar produto bebe,instrumento musical,0.1
guitarra eletrico,comida rapido fastfood,0.1
massinha play-doh,brinquedo jogo educativo,1.0
guirlanda evento,decoracao festa,1.0
guitarra eletrico,eletronico gadget,0.1
vinho casa valduga,papelaria escritorio,0.1
jogo talher tramontina,casa decoracao,1.0
onde comprar buque flor,veiculo automotor incluir carro moto,0.1
vela aromatico festa,decoracao festa,1.0
papel fotografico brilhante a4,papelaria escritorio,1.0
moto bmw r 1250 gs,veiculo automotor incluir carro moto,1.0
cerveja budweiser,brinquedo jogo educativo,0.1
kit barbear gillette mach3,beleza autocuidado,1.0
embreagem luk palio 1.0,peca acessorio automotivo,1.0
onde carregador portatil,ferramenta equipamento,0.1
livro suspense,instrumento musical,0.1
chinchila,produto alimenticio basico,0.1
colher pau,brinquedo jogo educativo,0.1
barraca camping 6 pessoa,papelaria escritorio,0.1
lousa infantil,item adulto,0.1
iphone 7,eletronico gadget,1.0
joia pandor,papelaria escritorio,0.1
cafe gelar lata,fotografia,0.1
Egeo masculino bomb,produto alimenticio basico,0.1
arranjo cravo alstroemeria,presente viagem,1.0
lingerie cristal,item adulto,1.0
varal luz decorativo,decoracao festa,1.0
jardim vertical compacto,presente viagem,1.0
planta natural Jardim,decoracao festa,0.1
cimento hidraulico,material construcao,1.0
vinho frances,papelaria escritorio,0.1
bom cafeteria perto eu,comida rapido fastfood,1.0
jogo pote hermetico,casa decoracao,1.0
affogato cafe,comida rapido fastfood,1.0
secador cabelo,eletrodomestico,1.0
procuro loja tecido barato,instrumento musical,0.1
livro receita gourmet,joia bijuterio,0.1
chuteira pum,livro material literario,0.1
cubo magico infantil,brinquedo jogo educativo,1.0
sorvete graviola,comida rapido fastfood,1.0
armacao grau,oculo item oculo,1.0
ar condicionado lg,brinquedo jogo educativo,0.1
vinho Portugues,instrumento musical,0.1
som festa portatil,peca acessorio automotivo,0.1
micro-ondas,esporte fitness,0.1
quadro branco escritorio,eletrodomestico,0.1
action figur filme famoso,item colecao,1.0
pote vidro flor preservar,presente viagem,1.0
camera seguranca residencial,presente viagem,0.1
fritadeira eletrico grande,eletrodomestico,1.0
alicate corte pequeno,eletrodomestico,0.1
bolo decorativo tema infantil,fotografia,0.1
aspirador po,oculo item oculo,0.1
guardanapo estampar festa,decoracao festa,1.0
livro atividade infantil,papelaria escritorio,1.0
alicate universal,comida rapido fastfood,0.1
replicar trono ferro game of throne,item colecao,1.0
bebida base cha gelar,oculo item oculo,0.1
comprimir zinco,saude bem-estar,1.0
lixeira aco inox,console jogo,0.1
pista corrida carrinho,brinquedo jogo educativo,1.0
relogio pulso unissex,presente viagem,1.0
armacao oculo premium,livro material literario,0.1
bicicleta sense,produto alimenticio basico,0.1
caderno brochuro,produto alimenticio basico,0.1
cadeira escritorio,eletronico gadget,0.1
livro didatico matematica,item adulto,0.1
relogio parede vintager,esporte fitness,0.1
kit ferramenta dewalt,material construcao,1.0
livro atividade crianca,item adulto,0.1
colar prata,joia bijuterio,1.0
roupao infantil estampa,item adulto,0.1
suporte celular,veiculo automotor incluir carro moto,0.1
onde xampu pantene,veiculo automotor incluir carro moto,0.1
onde poder comprar panela eletrico,fotografia,0.1
estatueta anime japonês,item colecao,1.0
querer comprar tv oled,saude bem-estar,0.1
maquina lavar,brinquedo jogo educativo,0.1
bola futebol adir,saude bem-estar,0.1
livro receita,ferramenta equipamento,0.1
fone monitor estudio akgr,instrumento musical,1.0
labirinto educativo Madeira,brinquedo jogo educativo,1.0
almofada ortopedico,casa decoracao,1.0
pao queijo,produto alimenticio basico,1.0
kit panela antiaderente,item colecao,0.1
camarao,peixaria pescado,1.0
fantasia Supervilao,item adulto,0.1
base espacial lego,brinquedo jogo educativo,1.0
guitarra cort,beleza autocuidado,0.1
Abajur philips,esporte fitness,0.1
roteador wi-fi,peixaria pescado,0.1
onde encontro bicicleta novo,joia bijuterio,0.1
relogio Franck Muller,joia bijuterio,1.0
condicionador,produto alimenticio basico,1.0
hilux 2012,veiculo automotor incluir carro moto,1.0
vela decorativo Glitter,fotografia,0.1
suplemento whey gold,moda acessorio,0.1
preciso carrinho mao urgente,presente viagem,0.1
equipamento fotografico,decoracao festa,0.1
patinete eletrico,console jogo,0.1
prancha stand-up paddle,console jogo,0.1
comprar copo descartavel,bebida alcoolico,0.1
