Text1,Text2,Label
anel de diamante cushion,joias e bijuterias,1.0
notebook lenovo thinkpad,casa e decoração,0.1
ar condicionado portátil,peixaria e pescados,0.1
kit de ciência para crianças,itens para adultos como brinquedos sexuais,0.1
onde compro estante de madeira,peixaria e pescados,0.1
chave de fenda estrela,materiais de construção,1.0
refrigerante de cola,produtos alimentícios básicos,1.0
encontro cabides de roupas na loja de decoração?,decoração para festas,0.1
iphone 12,padaria e confeitaria,0.1
sofá retrátil e reclinável,casa e decoração,1.0
telefone motorola,casa e decoração,0.1
bicicleta aro 29,produtos alimentícios básicos,0.1
calça social,moda e acessórios,1.0
torta rústica de maçã,óculos e itens para oculos,0.1
tábua de cortar,papelaria e escritório,0.1
tênis,moda e acessórios,1.0
fiat pulse drive,veículos automotores incluindo carros e motos,1.0
luva de jardinagem,bebidas alcoólicas,0.1
máquina de solda,ferramentas e equipamentos,1.0
ferrero rocher,doces e chocolates,1.0
chave de roda,ferramentas e equipamentos,1.0
brigadeiro,doces e chocolates,1.0
encontro uma panela de pressão nesta loja?,livros e materiais literários,0.1
onde compro barra de chocolate meio amargo,doces e chocolates,1.0
telefone antigo,itens de coleção,0.1
tênis casual feminino,eletrodomésticos,0.1
tem iphone 15 pro max,eletrônicos e gadgets,1.0
preciso de doces feitos de leite condensado,doces e chocolates,1.0
fronha de algodão,eletrônicos e gadgets,0.1
televisão tcl,beleza e autocuidado,0.1
ração para cachorro,comidas rápidas e fastfood,0.1
tenis nike,produtos alimentícios básicos,0.1
aspirador de pó robô,produtos para pets e animais domésticos,0.1
suplemento para imunidade,saúde e bem-estar,1.0
bancada de cozinha,moda e acessórios,0.1
kokedama,materiais de construção,1.0
porta-retratos de madeira,beleza e autocuidado,0.1
onde encontro uma mesa de escritório,joias e bijuterias,0.1
cinto de utilidades para ferramentas,eletrodomésticos,0.1
caixa jbl flip,eletrônicos e gadgets,1.0
cervejas artesanais importadas,bebidas alcoólicas,1.0
tapete infantil com ruas pra carrinhos,brinquedos e jogos educativos,1.0
luva térmica de cozinha,peças e acessórios automotivos,0.1
aromatizador para carro,peças e acessórios automotivos,1.0
máquina de costura portátil,eletrodomésticos,1.0
perfume feminino,óculos e itens para oculos,0.1
máquina de lavar brastemp,eletrônicos e gadgets,1.0
calcinha de renda preta,itens para adultos como brinquedos sexuais,1.0
cimento queimado,materiais de construção,1.0
tênis asics,casa e decoração,0.1
erva para chá,produtos alimentícios básicos,1.0
ssd gamer,moda e acessórios,0.1
onde comprar console playstation 5?,saúde e bem-estar,0.1
ventilador de teto,flores e plantas,0.1
onde encontro uma poltrona reclinável,fotografia,0.1
celular iphone 14,eletrônicos e gadgets,1.0
o milagre da manhã hal elrod,livros e materiais literários,1.0
smartphones,produtos alimentícios básicos,1.0
renault duster iconic,veículos automotores incluindo carros e motos,1.0
cabo de vela,papelaria e escritório,0.1
instrumentos musicais infantis,brinquedos e jogos educativos,1.0
espelho de parede,veículos automotores incluindo carros e motos,0.1
micro-ondas,moda e acessórios,0.1
cerveja lager clássica,bebidas alcoólicas,1.0
fantasia erótica de policial,itens para adultos como brinquedos sexuais,1.0
artesanato em cerâmica,casa e decoração,1.0
headset gamer steelseries arctis pro,consoles e jogos,1.0
bermuda esportiva,beleza e autocuidado,0.1
pêssego,produtos alimentícios básicos,0.1
relógio digital,eletrônicos e gadgets,1.0
régua de nível,ferramentas e equipamentos,1.0
onde vender celular usado?,eletrônicos e gadgets,1.0
torta salgada com legumes,fotografia,0.1
gelatina,produtos alimentícios básicos,0.1
livro 1984,livros e materiais literários,1.0
caneta montblanc,brinquedos e jogos educativos,0.1
batedeira kitchenaid,moda e acessórios,0.1
boné oakley,moda e acessórios,1.0
kit de pintura a óleo,eletrodomésticos,0.1
pista de corrida hot wheels,brinquedos e jogos educativos,1.0
ferramentas para jardinagem,brinquedos e jogos educativos,0.1
chapéus temáticos para eventos,decoração para festas,1.0
abajur philips,esportes e fitness,0.1
secadora de roupas,consoles e jogos,0.1
carro ford,veículos automotores incluindo carros e motos,1.0
lâmpada para répteis,eletrônicos e gadgets,0.1
onde comprar protetor solar sundown?,livros e materiais literários,0.1
brinco de gota com diamante,joias e bijuterias,1.0
ervilha enlatada,produtos alimentícios básicos,0.1
jogo de copos de vidro,veículos automotores incluindo carros e motos,0.1
coquetel de mojito de limão,bebidas alcoólicas,1.0
onde comprar vasos de cimento?,itens de coleção,0.1
gesso,materiais de construção,1.0
fahrenheit 451 ray bradbury,livros e materiais literários,1.0
espetos de churrasco,esportes e fitness,0.1
"livro ""a culpa é das estrelas"" john green",livros e materiais literários,1.0
protetor solar fps 50,saúde e bem-estar,1.0
onde compro sorvete ben & jerry's,comidas rápidas e fastfood,1.0
carro hyundai elantra,veículos automotores incluindo carros e motos,1.0
sofá reclinável,itens de coleção,0.1
bolos decorados para casamento,padaria e confeitaria,1.0
