Text1,Text2,Label
tablet android,produto basico arroz feijao massa item mercearia snack alimento congelar dia dia situacoes emergencial,0.1
capacete off-road,filtro oleo pastilha freio vela ignicao acessorio personalizacao automotiva peca reposicao veiculo leve pesar,1.0
tilapia,peixe fresco fruto mar opcoes congelar embalada vacuo produto gourmet caviar salmao defumar,1.0
equipamento ginastica,tinta cimento ferramenta construcao material reforma piso azulejo equipamento protecao individual,1.0
carregador iphone,smartphone acessorio cases fone ouvido smartwatche carregador portatel dispositivo inteligente casa assistente virtual camera seguranca,1.0
chinelo rider,vestuario diferentes ocasioe roupa casual formal esportiva alir acessorio bolsa cinto lenco,1.0
notebook toshiba,produto crianca boneca jogo tabuleiro brinquedo educativo pelucia kit arte incentir criatividade aprendizado ludico,0.1
onde achar quadro decorativo,filtro oleo pastilha freio vela ignicao acessorio personalizacao automotiva peca reposicao veiculo leve pesar,0.1
jogo talher tramontina,movel utensilio domestico item decorativo produto limpeza acessorio organizacao manutencao casa,1.0
onde encontrar chocolate artesanal,bombons barra chocolate trufa doce gourmet bala artesanal kit presente opcoes celebracoes aniversario,1.0
adesivo decorativo,artigo esportivo bola raquete acessorio academia roupa esportiva equipamento esporte outdoor escalada ciclismo,0.1
preciso furadeira casa,Chaves fenda furadeira kit reparo ferramenta eletrico manual construcao bricolagem manutencao domestico,1.0
disco freio fremax hb20,tinta cimento ferramenta construcao material reforma piso azulejo equipamento protecao individual,0.1
caneta bic,movel utensilio domestico item decorativo produto limpeza acessorio organizacao manutencao casa,0.1
gel arnica contusoes,suplemento vitaminico produto natural aparelho medicao termometro balanca item pratica atividade fisico relaxamento remedio,1.0
iphone 15,smartphone acessorio cases fone ouvido smartwatche carregador portatel dispositivo inteligente casa assistente virtual camera seguranca,1.0
pulseira ouro rubis,relogio luxo colar anel ouro prata pulseira pedra precioso acessorio sofisticar evento formal uso cotidiano,1.0
carro,veiculo automotor incluir carro moto,1.0
mouse gamer logitech,console videogame controle headsets cadeira gamer jogo diferentes plataforma pc playstation xbox,1.0
siri,produto basico arroz feijao massa item mercearia snack alimento congelar dia dia situacoes emergencial,1.0
fone ouvir bluetooth,veiculo automotor incluir carro moto,0.1
tenis vans old skool,suplemento vitaminico produto natural aparelho medicao termometro balanca item pratica atividade fisico relaxamento remedio,0.1
figura colecionavel dragoes,produto destinar colecionador figura acao selo moeda quadrinho raro item historico comumente vender loja especializar feira tematico,1.0
sardinha enlatar,peixe fresco fruto mar opcoes congelar embalada vacuo produto gourmet caviar salmao defumar,1.0
toyota hilux cabine duplo,veiculo automotor incluir carro moto,1.0
bolinha borracha cachorro,racoes brinquedo pet cama coleira roupa acessorio cao gato outro animal estimacao,1.0
locao pele secar,suplemento vitaminico produto natural aparelho medicao termometro balanca item pratica atividade fisico relaxamento remedio,1.0
escova dente ecologico,suplemento vitaminico produto natural aparelho medicao termometro balanca item pratica atividade fisico relaxamento remedio,0.1
smart tv Samsung,smartphone acessorio cases fone ouvido smartwatche carregador portatel dispositivo inteligente casa assistente virtual camera seguranca,1.0
lente olho peixe,camera dslr lente tripe filtro mochilas equipamento acessorio fotografo amadores profissional,1.0
Furadeira eletrico makita,suplemento vitaminico produto natural aparelho medicao termometro balanca item pratica atividade fisico relaxamento remedio,0.1
armacao grau design moderno,oculo grau sol armacoes lente contato acessorio estojo produto limpeza lente,1.0
tubete doce personalizado,baloe paineis decorativo item tematico casamento aniversario luminaria bandeirola vela acessorio transformar ambiente festa ocasioes especial,1.0
luva couro,produto crianca boneca jogo tabuleiro brinquedo educativo pelucia kit arte incentir criatividade aprendizado ludico,0.1
onde encontro bebida alcoolico vender,livro fisico e-books revista hqs material educativo guia tecnico estudo entretenimento literario,0.1
racao gourmet gato,racoes brinquedo pet cama coleira roupa acessorio cao gato outro animal estimacao,1.0
cafe capsula maquina,baloe paineis decorativo item tematico casamento aniversario luminaria bandeirola vela acessorio transformar ambiente festa ocasioes especial,0.1
camera digital ultima geracao,smartphone acessorio cases fone ouvido smartwatche carregador portatel dispositivo inteligente casa assistente virtual camera seguranca,1.0
tapete peludo,console videogame controle headsets cadeira gamer jogo diferentes plataforma pc playstation xbox,0.1
toalha mesa floral,smartphone acessorio cases fone ouvido smartwatche carregador portatel dispositivo inteligente casa assistente virtual camera seguranca,0.1
jogo tabuleiro,livro fisico e-books revista hqs material educativo guia tecnico estudo entretenimento literario,0.1
quebra-cabeca educativo,produto voltar publico adulto brinquedo sexual jogo adulto,0.1
