Text1,Text2,Label
onde acho multiprocessador,bebidas alcoólicas,0.1
balões de festa em cores metálicas,bebidas alcoólicas,0.1
comprar sabonete de glicerina,bebidas alcoólicas,0.1
anel peniano vibratório,bebidas alcoólicas,0.1
onde comprar brinquedo lego,bebidas alcoólicas,0.1
decorações temáticas de festa,bebidas alcoólicas,0.1
manteiga sem sal,bebidas alcoólicas,0.1
quero comprar fralda pampers,bebidas alcoólicas,0.1
me vê uma máquina de gelo,bebidas alcoólicas,0.1
almofadas decorativas para festas,bebidas alcoólicas,0.1
cafeteria com sobremesas exclusivas,bebidas alcoólicas,0.1
sorvete artesanal,bebidas alcoólicas,0.1
procuro sabão em pó omo,bebidas alcoólicas,0.1
ventilador portátil,bebidas alcoólicas,0.1
tem máquina de lavar consul,bebidas alcoólicas,0.1
procuro pendrive usb,bebidas alcoólicas,0.1
comprar estojo escolar,bebidas alcoólicas,0.1
tem aspirador robô,bebidas alcoólicas,0.1
procuro pneu aro 17 michelin,bebidas alcoólicas,0.1
me vê uma caixa de som bluetooth,bebidas alcoólicas,0.1
lembrancinhas comestíveis,bebidas alcoólicas,0.1
onde acho metrônomo digital,bebidas alcoólicas,0.1
onde acho tapete persa,bebidas alcoólicas,0.1
me vê uma batedeira,bebidas alcoólicas,0.1
tapete antiderrapante,bebidas alcoólicas,0.1
encontro tinta acrílica,bebidas alcoólicas,0.1
guarda-chuva grande,bebidas alcoólicas,0.1
comprar copo descartável,bebidas alcoólicas,0.1
preciso de espelho com luz,bebidas alcoólicas,0.1
onde acho hd externo,bebidas alcoólicas,0.1
quero comprar panela elétrica,bebidas alcoólicas,0.1
comprar arroz integral,bebidas alcoólicas,0.1
encontro prateleira de vidro,bebidas alcoólicas,0.1
me vê uma impressora laser,bebidas alcoólicas,0.1
me vê uma adega climatizada,bebidas alcoólicas,0.1
me vê um ventilador arno,bebidas alcoólicas,0.1
garrafa térmica de aço,bebidas alcoólicas,0.1
estatuetas colecionáveis temáticas,bebidas alcoólicas,0.1
queria uma geladeira brastemp,bebidas alcoólicas,0.1
kit de sombras para olhos,bebidas alcoólicas,0.1
onde comprar refrigerante coca-cola,bebidas alcoólicas,0.1
papel cartão colorido,bebidas alcoólicas,0.1
vocês vendem xbox series x,bebidas alcoólicas,0.1
algemas de pelúcia rosa,bebidas alcoólicas,0.1
tem batedeira kitchenaid,bebidas alcoólicas,0.1
vocês vendem cervejeira,bebidas alcoólicas,0.1
queria um refrigerador side by side,bebidas alcoólicas,0.1
onde comprar flores artificiais,bebidas alcoólicas,0.1
queria um nobreak,bebidas alcoólicas,0.1
jogo de cama queen,bebidas alcoólicas,0.1
caderno universitário,bebidas alcoólicas,0.1
tem forno elétrico,bebidas alcoólicas,0.1
panela de ferro fundido,bebidas alcoólicas,0.1
tênis casual puma,bebidas alcoólicas,0.1
gel estimulante feminino,bebidas alcoólicas,0.1
conjunto de lingeries eróticas,bebidas alcoólicas,0.1
tem ar condicionado split,bebidas alcoólicas,0.1
tem telescópio astronômico,bebidas alcoólicas,0.1
preciso de ferro de passar,bebidas alcoólicas,0.1
procuro patins infantil,bebidas alcoólicas,0.1
vocês vendem jogo de panelas,bebidas alcoólicas,0.1
comprar farinha de milho,bebidas alcoólicas,0.1
sabonete líquido dove,bebidas alcoólicas,0.1
masturbador masculino,bebidas alcoólicas,0.1
queria um violão acústico,bebidas alcoólicas,0.1
martelo de borracha,bebidas alcoólicas,0.1
quero comprar mixer mondial,bebidas alcoólicas,0.1
carne de churrasco,bebidas alcoólicas,0.1
tem fogão cooktop,bebidas alcoólicas,0.1
saco de lixo preto,bebidas alcoólicas,0.1
quero comprar forno micro-ondas,bebidas alcoólicas,0.1
câmera mirrorless compacta,bebidas alcoólicas,0.1
onde acho impressora hp,bebidas alcoólicas,0.1
comprar desinfetante,bebidas alcoólicas,0.1
filtro para lente de câmera,bebidas alcoólicas,0.1
queria um modelador de cachos,bebidas alcoólicas,0.1
jarra plástica,bebidas alcoólicas,0.1
procuro interface de áudio,bebidas alcoólicas,0.1
blusa de algodão masculina,bebidas alcoólicas,0.1
tem ferro a vapor,bebidas alcoólicas,0.1
queria um moedor de café,bebidas alcoólicas,0.1
tem secador de cabelo taiff,bebidas alcoólicas,0.1
tesoura de jardinagem,bebidas alcoólicas,0.1
onde encontro tinta para cabelo,bebidas alcoólicas,0.1
roupa de cama de solteiro,bebidas alcoólicas,0.1
me vê uma cama box queen,bebidas alcoólicas,0.1
cartões colecionáveis raros,bebidas alcoólicas,0.1
encontro chave de fenda,bebidas alcoólicas,0.1
vocês vendem guitarra fender,bebidas alcoólicas,0.1
preciso de cabo para instrumentos,bebidas alcoólicas,0.1
balões personalizados com nome,bebidas alcoólicas,0.1
bola de handebol,bebidas alcoólicas,0.1
caixa de bombons sortidos,bebidas alcoólicas,0.1
onde encontro cordão de luz,bebidas alcoólicas,0.1
chinelo havaianas branco,bebidas alcoólicas,0.1
procuro máquina de café,bebidas alcoólicas,0.1
chicote de couro para jogos,bebidas alcoólicas,0.1
queria um fone de ouvido,bebidas alcoólicas,0.1
protetor de lentes para câmera,bebidas alcoólicas,0.1
óleo de massagem beijável,bebidas alcoólicas,0.1
tem aspirador de pó electrolux,bebidas alcoólicas,0.1
kit de agulhas,bebidas alcoólicas,0.1
comprar detergente de coco,bebidas alcoólicas,0.1
base de maquiagem para pele seca,bebidas alcoólicas,0.1
onde acho chaleira elétrica,bebidas alcoólicas,0.1
papel filme,bebidas alcoólicas,0.1
frigideira de aço inox,bebidas alcoólicas,0.1
café de origem única,bebidas alcoólicas,0.1
lâmpada fluorescente,bebidas alcoólicas,0.1
tem esterilizador uv,bebidas alcoólicas,0.1
cadeira gamer,bebidas alcoólicas,0.1
encontro cadeira dobrável,bebidas alcoólicas,0.1
pães de mel com embalagem de presente,bebidas alcoólicas,0.1
onde comprar espanador,bebidas alcoólicas,0.1
procuro perfume chanel,bebidas alcoólicas,0.1
travesseiro para gestantes,bebidas alcoólicas,0.1
procuro iogurteira,bebidas alcoólicas,0.1
jogo de facas,bebidas alcoólicas,0.1
vela de massagem erótica,bebidas alcoólicas,0.1
preciso de cabo hdmi,bebidas alcoólicas,0.1
caderno brochura,bebidas alcoólicas,0.1
suporte para notebook,bebidas alcoólicas,0.1
quero comprar arroz integral,bebidas alcoólicas,0.1
comprar algodão higiênico,bebidas alcoólicas,0.1
queria um frigobar,bebidas alcoólicas,0.1
tem escova rotativa,bebidas alcoólicas,0.1
figuras de ação,bebidas alcoólicas,0.1
preciso de aquecedor a gás,bebidas alcoólicas,0.1
quero comprar guarda-roupa,bebidas alcoólicas,0.1
tem purificador de água,bebidas alcoólicas,0.1
decorações de balões com glitter,bebidas alcoólicas,0.1
quero comprar fritadeira air fryer,bebidas alcoólicas,0.1
bolo de casamento personalizado,bebidas alcoólicas,0.1
tem liquidificador philips,bebidas alcoólicas,0.1
protetor solar fps 50,bebidas alcoólicas,0.1
protetor de lentes para câmera dslr,bebidas alcoólicas,0.1
me vê uma churrasqueira,bebidas alcoólicas,0.1
queria um fogão 6 bocas,bebidas alcoólicas,0.1
parafuso para madeira,bebidas alcoólicas,0.1
relógio de pulso digital,bebidas alcoólicas,0.1
tem pasta de dente colgate,bebidas alcoólicas,0.1
encontro ferro de passar roupas,bebidas alcoólicas,0.1
vocês vendem roteador wifi,bebidas alcoólicas,0.1
onde acho monitor gamer,bebidas alcoólicas,0.1
caixa de creme de leite,bebidas alcoólicas,0.1
tem escova elétrica oral-b,bebidas alcoólicas,0.1
queria um banco para bateria,bebidas alcoólicas,0.1
óculos esportivos com proteção uv,bebidas alcoólicas,0.1
brinquedo de carrinho hot wheels,bebidas alcoólicas,0.1
onde acho mesa de som,bebidas alcoólicas,0.1
vocês vendem pipoqueira,bebidas alcoólicas,0.1
pães de mel personalizados,bebidas alcoólicas,0.1
preciso de cadeira ergonômica,bebidas alcoólicas,0.1
me vê uma secadora de cabelo,bebidas alcoólicas,0.1
pétalas de rosa naturais,bebidas alcoólicas,0.1
tapete infantil,bebidas alcoólicas,0.1
toalha de mesa,bebidas alcoólicas,0.1
chocolates para presentes,bebidas alcoólicas,0.1
vocês vendem smartwatch,bebidas alcoólicas,0.1
encontro garrafa de água,bebidas alcoólicas,0.1
procuro coifa para fogão,bebidas alcoólicas,0.1
tem carregador portátil,bebidas alcoólicas,0.1
onde comprar filtro de água,bebidas alcoólicas,0.1
onde acho secadora de roupas,bebidas alcoólicas,0.1
procuro cafeteira italiana,bebidas alcoólicas,0.1
tênis nike,bebidas alcoólicas,0.1
onde acho teclado musical,bebidas alcoólicas,0.1
lençol solteiro de algodão,bebidas alcoólicas,0.1
queria um microondas lg,bebidas alcoólicas,0.1
café especial em sachês,bebidas alcoólicas,0.1
comprar vela aromática,bebidas alcoólicas,0.1
onde comprar panela antiaderente,bebidas alcoólicas,0.1
mouse gamer,bebidas alcoólicas,0.1
me vê uma smart tv samsung,bebidas alcoólicas,0.1
camisa,bebidas alcoólicas,0.1
procuro tablet samsung,bebidas alcoólicas,0.1
cinto de tecido,bebidas alcoólicas,0.1
me vê um par de tênis nike,bebidas alcoólicas,0.1
pincel para pintar parede,bebidas alcoólicas,0.1
balde de ferro,bebidas alcoólicas,0.1
procuro cortina blackout,bebidas alcoólicas,0.1
preciso de shampoo anticaspa,bebidas alcoólicas,0.1
me vê uma sanduicheira,bebidas alcoólicas,0.1
comprar mangueira de jardim,bebidas alcoólicas,0.1
carregador de iphone,bebidas alcoólicas,0.1
quero comprar torradeira,bebidas alcoólicas,0.1
cinta peniana dupla,bebidas alcoólicas,0.1
esponja de cozinha,bebidas alcoólicas,0.1
me vê uma capa para guitarra,bebidas alcoólicas,0.1
comprar jogo de tabuleiro,bebidas alcoólicas,0.1
queria um vaporizador de roupas,bebidas alcoólicas,0.1
luva de jardinagem,bebidas alcoólicas,0.1
vocês vendem aspirador de pó portátil,bebidas alcoólicas,0.1
procuro teclado mecânico,bebidas alcoólicas,0.1
vibrador bullet discreto,bebidas alcoólicas,0.1
onde acho óculos ray-ban,bebidas alcoólicas,0.1
